表層形, 品詞
はし,名詞
が,助詞
き,動詞
私,名詞
は,助詞
、,記号
その,連体詞
男,名詞
の,助詞
写真,名詞
を,助詞
三,名詞
葉,名詞
、,記号
見,動詞
た,助動詞
こと,名詞
が,助詞
ある,動詞
。,記号
一葉,名詞
は,助詞
、,記号
その,連体詞
男,名詞
の,助詞
、,記号
幼年,名詞
時代,名詞
、,記号
と,助詞
でも,助詞
言う,動詞
べき,助動詞
で,助動詞
あろ,助動詞
う,助動詞
か,助詞
、,記号
十,名詞
歳,名詞
前後,名詞
か,助詞
と,助詞
推定,名詞
さ,動詞
れる,動詞
頃,名詞
の,助詞
写真,名詞
で,助動詞
あっ,助動詞
て,助詞
、,記号
その,連体詞
子供,名詞
が,助詞
大勢,名詞
の,助詞
女,名詞
の,助詞
ひと,名詞
に,助詞
取り,動詞
かこま,動詞
れ,動詞
、,記号
（,記号
それ,名詞
は,助詞
、,記号
その,連体詞
子供,名詞
の,助詞
姉たち,名詞
、,記号
妹,名詞
たち,名詞
、,記号
それから,接続詞
、,記号
従姉妹,名詞
たち,名詞
か,助詞
と,助詞
想像,名詞
さ,動詞
れる,動詞
）,記号
庭園,名詞
の,助詞
池,名詞
の,助詞
ほとり,名詞
に,助詞
、,記号
荒い,形容詞
縞,名詞
の,助詞
袴,名詞
を,助詞
はい,動詞
て,助詞
立ち,動詞
、,記号
首,名詞
を,助詞
三,名詞
十,名詞
度,名詞
ほど,助詞
左,名詞
に,助詞
傾け,動詞
、,記号
醜く,形容詞
笑っ,動詞
て,助詞
いる,動詞
写真,名詞
で,助動詞
ある,助動詞
。,記号
醜く,形容詞
？,記号
　,記号
けれども,接続詞
、,記号
鈍い,形容詞
人,名詞
たち,名詞
（,記号
つまり,接続詞
、,記号
美醜,名詞
など,助詞
に,助詞
関心,名詞
を,助詞
持た,動詞
ぬ,助動詞
人,名詞
たち,名詞
）,記号
は,助詞
、,記号
面白く,形容詞
も,助詞
何とも,副詞
無い,形容詞
よう,名詞
な,助動詞
顔,名詞
を,助詞
し,動詞
て,助詞
、,記号
「,記号
可愛い,形容詞
坊ちゃん,名詞
です,助動詞
ね,助詞
」,記号
と,助詞
いい加減,副詞
なお,接続詞
世辞,名詞
を,助詞
言っ,動詞
て,助詞
も,助詞
、,記号
まんざら,副詞
空,名詞
お,接頭詞
世辞,名詞
に,助詞
聞え,動詞
ない,助動詞
くらい,助詞
の,助詞
、,記号
謂わ,動詞
ば,助詞
通俗,名詞
の,助詞
「,記号
可愛らし,形容詞
さ,名詞
」,記号
みたい,名詞
な,助動詞
影,名詞
も,助詞
その,連体詞
子供,名詞
の,助詞
笑顔,名詞
に,助詞
無い,形容詞
わけ,名詞
で,助動詞
は,助詞
ない,形容詞
の,名詞
だ,助動詞
が,助詞
、,記号
しかし,接続詞
、,記号
いささか,副詞
で,助動詞
も,助詞
、,記号
美醜,名詞
に,助詞
就い,動詞
て,助詞
の,助詞
訓練,名詞
を,助詞
経,動詞
て,助詞
来,動詞
た,助動詞
ひと,名詞
なら,助動詞
、,記号
ひと,名詞
め,名詞
見,動詞
て,助詞
すぐ,副詞
、,記号
「,記号
なんて,助詞
、,記号
いや,名詞
な,助動詞
子供,名詞
だ,助動詞
」,記号
と,助詞
頗る,副詞
不快,名詞
そう,名詞
に,助詞
呟き,動詞
、,記号
毛虫,名詞
でも,助詞
払いのける,動詞
時,名詞
の,助詞
よう,名詞
な,助動詞
手つき,名詞
で,助詞
、,記号
その,連体詞
写真,名詞
を,助詞
ほうり,動詞
投げる,動詞
かも,助詞
知れ,動詞
ない,助動詞
。,記号
まったく,副詞
、,記号
その,連体詞
子供,名詞
の,助詞
笑顔,名詞
は,助詞
、,記号
よく,副詞
見れ,動詞
ば,助詞
見る,動詞
ほど,助詞
、,記号
何とも,副詞
知れ,動詞
ず,助動詞
、,記号
イヤ,名詞
な,助動詞
薄気味悪い,形容詞
もの,名詞
が,助詞
感ぜ,動詞
られ,動詞
て,助詞
来る,動詞
。,記号
どだい,副詞
、,記号
それ,名詞
は,助詞
、,記号
笑顔,名詞
で,助動詞
ない,助動詞
。,記号
この,連体詞
子,名詞
は,助詞
、,記号
少し,副詞
も,助詞
笑っ,動詞
て,助詞
は,助詞
い,動詞
ない,助動詞
の,名詞
だ,助動詞
。,記号
その,連体詞
証拠,名詞
に,助詞
は,助詞
、,記号
この,連体詞
子,名詞
は,助詞
、,記号
両方,名詞
の,助詞
こぶし,名詞
を,助詞
固く,形容詞
握っ,動詞
て,助詞
立っ,動詞
て,助詞
いる,動詞
。,記号
人間,名詞
は,助詞
、,記号
こぶし,名詞
を,助詞
固く,形容詞
握り,動詞
ながら,助詞
笑える,動詞
もの,名詞
で,助動詞
は,助詞
無い,形容詞
の,名詞
で,助動詞
ある,助動詞
。,記号
猿,名詞
だ,助動詞
。,記号
猿,名詞
の,助詞
笑顔,名詞
だ,助動詞
。,記号
ただ,接続詞
、,記号
顔,名詞
に,助詞
醜い,形容詞
皺,名詞
を,助詞
寄せ,動詞
て,助詞
いる,動詞
だけ,助詞
な,助動詞
の,名詞
で,助動詞
ある,助動詞
。,記号
「,記号
皺くちゃ,名詞
坊ちゃん,名詞
」,記号
と,助詞
でも,助詞
言い,動詞
たく,助動詞
なる,動詞
くらい,助詞
の,助詞
、,記号
まことに,副詞
奇妙,名詞
な,助動詞
、,記号
そうして,接続詞
、,記号
どこ,名詞
か,助詞
けがらわしく,形容詞
、,記号
へん,名詞
に,助詞
ひと,名詞
を,助詞
ムカムカ,名詞
さ,動詞
せる,動詞
表情,名詞
の,助詞
写真,名詞
で,助動詞
あっ,助動詞
た,助動詞
。,記号
私,名詞
は,助詞
これ,名詞
まで,助詞
、,記号
こんな,連体詞
不思議,名詞
な,助動詞
表情,名詞
の,助詞
子供,名詞
を,助詞
見,動詞
た,助動詞
事,名詞
が,助詞
、,記号
いちど,名詞
も,助詞
無かっ,形容詞
た,助動詞
。,記号
第,接頭詞
二,名詞
葉,名詞
の,助詞
写真,名詞
の,助詞
顔,名詞
は,助詞
、,記号
これ,名詞
は,助詞
また,接続詞
、,記号
びっくり,名詞
する,動詞
くらい,助詞
ひどく,形容詞
変貌,名詞
し,動詞
て,助詞
い,動詞
た,助動詞
。,記号
学生,名詞
の,助詞
姿,名詞
で,助動詞
ある,助動詞
。,記号
高等,名詞
学校,名詞
時代,名詞
の,助詞
写真,名詞
か,助詞
、,記号
大学,名詞
時代,名詞
の,助詞
写真,名詞
か,助詞
、,記号
はっきり,副詞
し,動詞
ない,助動詞
けれども,助詞
、,記号
とにかく,副詞
、,記号
おそろしく,副詞
美貌,名詞
の,助詞
学生,名詞
で,助動詞
ある,助動詞
。,記号
しかし,接続詞
、,記号
これ,名詞
も,助詞
また,接続詞
、,記号
不思議,名詞
に,助詞
も,助詞
、,記号
生き,動詞
て,助詞
いる,動詞
人間,名詞
の,助詞
感じ,名詞
は,助詞
し,動詞
なかっ,助動詞
た,助動詞
。,記号
学生,名詞
服,名詞
を,助詞
着,動詞
て,助詞
、,記号
胸,名詞
の,助詞
ポケット,名詞
から,助詞
白い,形容詞
ハンケチ,名詞
を,助詞
覗か,動詞
せ,動詞
、,記号
籐椅子,名詞
に,助詞
腰かけ,動詞
て,助詞
足,名詞
を,助詞
組み,動詞
、,記号
そうして,接続詞
、,記号
やはり,副詞
、,記号
笑っ,動詞
て,助詞
いる,動詞
。,記号
こんど,名詞
の,助詞
笑顔,名詞
は,助詞
、,記号
皺くちゃ,名詞
の,助詞
猿,名詞
の,助詞
笑い,名詞
で,助動詞
なく,助動詞
、,記号
かなり,副詞
巧み,名詞
な,助動詞
微笑,名詞
に,助詞
なっ,動詞
て,助詞
は,助詞
いる,動詞
が,助詞
、,記号
しかし,接続詞
、,記号
人間,名詞
の,助詞
笑い,名詞
と,助詞
、,記号
どこ,名詞
やら,助詞
違う,動詞
。,記号
血,名詞
の,助詞
重,形容詞
さ,名詞
、,記号
と,助詞
でも,助詞
言お,動詞
う,助動詞
か,助詞
、,記号
生命,名詞
の,助詞
渋,形容詞
さ,名詞
、,記号
と,助詞
でも,助詞
言お,動詞
う,助動詞
か,助詞
、,記号
その,連体詞
よう,名詞
な,助動詞
充実,名詞
感,名詞
は,助詞
少し,副詞
も,助詞
無く,形容詞
、,記号
それ,名詞
こそ,助詞
、,記号
鳥,名詞
の,助詞
よう,名詞
で,助動詞
は,助詞
なく,助動詞
、,記号
羽毛,名詞
の,助詞
よう,名詞
に,助詞
軽く,形容詞
、,記号
ただ,接続詞
白紙,名詞
一,名詞
枚,名詞
、,記号
そうして,接続詞
、,記号
笑っ,動詞
て,助詞
いる,動詞
。,記号
つまり,接続詞
、,記号
一,名詞
から,助詞
十,名詞
まで,助詞
造り,名詞
物,名詞
の,助詞
感じ,名詞
な,助動詞
の,名詞
で,助動詞
ある,助動詞
。,記号
キザ,名詞
と,助詞
言っ,動詞
て,助詞
も,助詞
足り,動詞
ない,助動詞
。,記号
軽薄,名詞
と,助詞
言っ,動詞
て,助詞
も,助詞
足り,動詞
ない,助動詞
。,記号
ニヤケ,名詞
と,助詞
言っ,動詞
て,助詞
も,助詞
足り,動詞
ない,助動詞
。,記号
おしゃれ,名詞
と,助詞
言っ,動詞
て,助詞
も,助詞
、,記号
もちろん,副詞
足り,動詞
ない,助動詞
。,記号
しかも,接続詞
、,記号
よく,副詞
見,動詞
て,助詞
いる,動詞
と,助詞
、,記号
やはり,副詞
この,連体詞
美貌,名詞
の,助詞
学生,名詞
に,助詞
も,助詞
、,記号
どこ,名詞
か,助詞
怪談,名詞
じみ,動詞
た,助動詞
気味悪い,形容詞
もの,名詞
が,助詞
感ぜ,動詞
られ,動詞
て,助詞
来る,動詞
の,名詞
で,助動詞
ある,助動詞
。,記号
私,名詞
は,助詞
これ,名詞
まで,助詞
、,記号
こんな,連体詞
不思議,名詞
な,助動詞
美貌,名詞
の,助詞
青年,名詞
を,助詞
見,動詞
た,助動詞
事,名詞
が,助詞
、,記号
いちど,名詞
も,助詞
無かっ,形容詞
た,助動詞
。,記号
もう,副詞
一,名詞
葉,名詞
の,助詞
写真,名詞
は,助詞
、,記号
最も,副詞
奇怪,名詞
な,助動詞
もの,名詞
で,助動詞
ある,助動詞
。,記号
まるで,副詞
もう,副詞
、,記号
と,助詞
し,動詞
の,助詞
頃,名詞
が,助詞
わから,動詞
ない,助動詞
。,記号
頭,名詞
は,助詞
いくぶん,副詞
白髪,名詞
の,助詞
よう,名詞
で,助動詞
ある,助動詞
。,記号
それ,名詞
が,助詞
、,記号
ひどく,副詞
汚い,形容詞
部屋,名詞
（,記号
部屋,名詞
の,助詞
壁,名詞
が,助詞
三,名詞
箇所,名詞
ほど,助詞
崩れ落ち,動詞
て,助詞
いる,動詞
の,名詞
が,助詞
、,記号
その,連体詞
写真,名詞
に,助詞
ハッキリ,副詞
写っ,動詞
て,助詞
いる,動詞
）,記号
の,助詞
片隅,名詞
で,助詞
、,記号
小さい,形容詞
火鉢,名詞
に,助詞
両手,名詞
を,助詞
かざし,動詞
、,記号
こんど,名詞
は,助詞
笑っ,動詞
て,助詞
い,動詞
ない,助動詞
。,記号
どんな,連体詞
表情,名詞
も,助詞
無い,形容詞
。,記号
謂わ,動詞
ば,助詞
、,記号
坐っ,動詞
て,助詞
火鉢,名詞
に,助詞
両手,名詞
を,助詞
かざし,動詞
ながら,助詞
、,記号
自然,名詞
に,助詞
死ん,動詞
で,助詞
いる,動詞
よう,名詞
な,助動詞
、,記号
まことに,副詞
いまわしい,形容詞
、,記号
不吉,名詞
な,助動詞
におい,名詞
の,助詞
する,動詞
写真,名詞
で,助動詞
あっ,助動詞
た,助動詞
。,記号
奇怪,名詞
な,助動詞
の,名詞
は,助詞
、,記号
それ,名詞
だけ,助詞
で,助動詞
ない,助動詞
。,記号
その,連体詞
写真,名詞
に,助詞
は,助詞
、,記号
わりに,副詞
顔,名詞
が,助詞
大きく,形容詞
写っ,動詞
て,助詞
い,動詞
た,助動詞
ので,助詞
、,記号
私,名詞
は,助詞
、,記号
つくづく,副詞
その,連体詞
顔,名詞
の,助詞
構造,名詞
を,助詞
調べる,動詞
事,名詞
が,助詞
出来,動詞
た,助動詞
の,名詞
で,助動詞
ある,助動詞
が,助詞
、,記号
額,名詞
は,助詞
平凡,名詞
、,記号
額,名詞
の,助詞
皺,名詞
も,助詞
平凡,名詞
