表層形, 品詞
朝,名詞
、,記号
食堂,名詞
で,助詞
スウプ,名詞
を,助詞
一,名詞
さじ,名詞
、,記号
すっと,副詞
吸っ,動詞
て,助詞
お母さま,名詞
が,助詞
、,記号
「,記号
あ,感動詞
」,記号
と,フィラー
幽か,名詞
な,助動詞
叫び声,名詞
を,助詞
お,接頭詞
挙げ,動詞
に,助詞
なっ,動詞
た,助動詞
。,記号
「,記号
髪の毛,名詞
？,記号
」,記号
スウプ,名詞
に,助詞
何,名詞
か,助詞
、,記号
イヤ,名詞
な,助動詞
もの,名詞
でも,助詞
入っ,動詞
て,助詞
い,動詞
た,助動詞
の,名詞
かしら,助詞
、,記号
と,助詞
思っ,動詞
た,助動詞
。,記号
「,記号
いいえ,感動詞
」,記号
お母さま,名詞
は,助詞
、,記号
何事,名詞
も,助詞
無かっ,形容詞
た,助動詞
よう,名詞
に,助詞
、,記号
また,接続詞
ひらり,副詞
と,助詞
一,名詞
さじ,名詞
、,記号
スウプ,名詞
を,助詞
お,接頭詞
口,名詞
に,助詞
流し込み,動詞
、,記号
すまし,動詞
て,助詞
お,接頭詞
顔,名詞
を,助詞
横,名詞
に,助詞
向け,動詞
、,記号
お勝手,名詞
の,助詞
窓,名詞
の,助詞
、,記号
満開,名詞
の,助詞
山桜,名詞
に,助詞
視線,名詞
を,助詞
送り,動詞
、,記号
そうして,接続詞
お,接頭詞
顔,名詞
を,助詞
横,名詞
に,助詞
向け,動詞
た,助動詞
まま,名詞
、,記号
また,接続詞
ひらり,副詞
と,助詞
一,名詞
さじ,名詞
、,記号
スウプ,名詞
を,助詞
小さな,連体詞
お,接頭詞
唇,名詞
の,助詞
あいだ,名詞
に,助詞
滑り込ま,動詞
せ,動詞
た,助動詞
。,記号
ヒラリ,名詞
、,記号
という,助詞
形容,名詞
は,助詞
、,記号
お母さま,名詞
の,助詞
場合,名詞
、,記号
決して,副詞
誇張,名詞
で,助詞
は,助詞
無い,形容詞
。,記号
婦人,名詞
雑誌,名詞
など,助詞
に,助詞
出,動詞
て,助詞
いる,動詞
お,接頭詞
食事,名詞
の,助詞
いただき,動詞
方,名詞
など,助詞
と,助詞
は,助詞
、,記号
てんで,副詞
まるで,副詞
、,記号
違っ,動詞
て,助詞
いらっしゃる,動詞
。,記号
弟,名詞
の,助詞
直治,名詞
が,助詞
いつか,名詞
、,記号
お,接頭詞
酒,名詞
を,助詞
飲み,動詞
ながら,助詞
、,記号
姉,名詞
の,助詞
私,名詞
に,助詞
向っ,動詞
て,助詞
こう,副詞
言っ,動詞
た,助動詞
事,名詞
が,助詞
ある,動詞
。,記号
「,記号
爵位,名詞
が,助詞
ある,動詞
から,助詞
、,記号
貴族,名詞
だ,助動詞
という,助詞
わけ,名詞
に,助詞
は,助詞
いか,動詞
ない,助動詞
ん,名詞
だ,助動詞
ぜ,助詞
。,記号
爵位,名詞
が,助詞
無く,形容詞
て,助詞
も,助詞
、,記号
天爵,名詞
という,助詞
もの,名詞
を,助詞
持っ,動詞
て,助詞
いる,動詞
立派,名詞
な,助動詞
貴族,名詞
の,助詞
ひと,名詞
も,助詞
ある,動詞
し,助詞
、,記号
おれ,名詞
たち,名詞
の,助詞
よう,名詞
に,助詞
爵位,名詞
だけ,助詞
は,助詞
持っ,動詞
て,助詞
い,動詞
て,助詞
も,助詞
、,記号
貴族,名詞
どころか,助詞
、,記号
賤民,名詞
に,助詞
ちかい,形容詞
の,名詞
も,助詞
いる,動詞
。,記号
岩島,名詞
なんて,助詞
の,名詞
は,助詞
（,記号
と,助詞
直治,名詞
の,助詞
学友,名詞
の,助詞
伯爵,名詞
の,助詞
お,接頭詞
名前,名詞
を,助詞
挙げ,動詞
て,助詞
）,記号
あんな,連体詞
の,名詞
は,助詞
、,記号
まったく,副詞
、,記号
新宿,名詞
の,助詞
遊廓,名詞
の,助詞
客引き,名詞
番頭,名詞
より,助詞
も,助詞
、,記号
もっと,副詞
げび,動詞
てる,動詞
感じ,名詞
じゃ,助詞
ねえ,助動詞
か,助詞
。,記号
こないだ,名詞
も,助詞
、,記号
柳井,名詞
（,記号
と,助詞
、,記号
やはり,副詞
弟,名詞
の,助詞
学友,名詞
で,助詞
、,記号
子爵,名詞
の,助詞
御,接頭詞
次男,名詞
の,助詞
かた,名詞
の,助詞
お,接頭詞
名前,名詞
を,助詞
挙げ,動詞
て,助詞
）,記号
の,助詞
兄貴,名詞
の,助詞
結婚式,名詞
に,助詞
、,記号
あん,動詞
ち,動詞
きしょう,形容詞
、,記号
タキシイド,名詞
なんか,助詞
着,動詞
て,助詞
、,記号
なん,名詞
だって,助詞
また,接続詞
、,記号
タキシイド,名詞
なんか,助詞
を,助詞
着,動詞
て,助詞
来る,動詞
必要,名詞
が,助詞
ある,動詞
ん,名詞
だ,助動詞
、,記号
それ,名詞
は,助詞
まあ,副詞
いい,形容詞
として,助詞
、,記号
テーブルスピーチ,名詞
の,助詞
時,名詞
に,助詞
、,記号
あの,連体詞
野郎,名詞
、,記号
ゴザイマスル,名詞
という,助詞
不可思議,名詞
な,助動詞
言葉,名詞
を,助詞
つかっ,動詞
た,助動詞
の,名詞
に,助詞
は,助詞
、,記号
げっ,感動詞
と,助詞
なっ,動詞
た,助動詞
。,記号
気取る,動詞
という,助詞
事,名詞
は,助詞
、,記号
上品,名詞
という,助詞
事,名詞
と,助詞
、,記号
ぜんぜん,副詞
無関係,名詞
な,助動詞
あさましい,形容詞
虚勢,名詞
だ,助動詞
。,記号
高等,名詞
御,接頭詞
下宿,名詞
と,助詞
書い,動詞
て,助詞
ある,動詞
看板,名詞
が,助詞
本郷,名詞
あたり,名詞
に,助詞
よく,副詞
あっ,動詞
た,助動詞
もの,名詞
だ,助動詞
けれども,助詞
、,記号
じっさい,副詞
華族,名詞
なんて,助詞
もの,名詞
の,助詞
大,接頭詞
部分,名詞
は,助詞
、,記号
高等,名詞
御,接頭詞
乞食,名詞
と,助詞
でも,助詞
いっ,動詞
た,助動詞
よう,名詞
な,助動詞
もの,名詞
な,助動詞
ん,名詞
だ,助動詞
。,記号
しん,名詞
の,助詞
貴族,名詞
は,助詞
、,記号
あんな,連体詞
岩島,名詞
みたい,名詞
な,助動詞
下手,名詞
な,助動詞
気取り,名詞
かた,名詞
なんか,助詞
、,記号
し,動詞
やし,助動詞
ない,助動詞
よ,助詞
。,記号
おれ,名詞
たち,名詞
の,助詞
一族,名詞
で,助詞
も,助詞
、,記号
ほん,名詞
もの,名詞
の,助詞
貴族,名詞
は,助詞
、,記号
まあ,副詞
、,記号
ママ,名詞
くらい,助詞
の,助詞
もの,名詞
だろ,助動詞
う,助動詞
。,記号
あれ,名詞
は,助詞
、,記号
ほん,名詞
もの,名詞
だ,助動詞
よ,助詞
。,記号
かなわ,動詞
ねえ,助動詞
ところ,名詞
が,助詞
ある,動詞
」,記号
スウプ,名詞
の,助詞
いただき,名詞
かた,名詞
に,助詞
し,動詞
て,助詞
も,助詞
、,記号
私,名詞
たち,名詞
なら,助動詞
、,記号
お,接頭詞
皿,名詞
の,助詞
上,名詞
に,助詞
すこし,副詞
うつむき,動詞
、,記号
そうして,接続詞
スプウン,名詞
を,助詞
横,名詞
に,助詞
持っ,動詞
て,助詞
スウプ,名詞
を,助詞
掬い,動詞
、,記号
スプウン,名詞
を,助詞
横,名詞
に,助詞
し,動詞
た,助動詞
まま,名詞
口元,名詞
に,助詞
運ん,動詞
で,助詞
いただく,動詞
の,名詞
だ,助動詞
けれども,助詞
、,記号
お母さま,名詞
は,助詞
左手,名詞
の,助詞
お,接頭詞
指,名詞
を,助詞
軽く,形容詞
テーブル,名詞
の,助詞
縁,名詞
にかけて,助詞
、,記号
上体,名詞
を,助詞
かがめる,動詞
事,名詞
も,助詞
無く,形容詞
、,記号
お,接頭詞
顔,名詞
を,助詞
しゃんと,副詞
挙げ,動詞
て,助詞
、,記号
お,接頭詞
皿,名詞
を,助詞
ろくに,副詞
見,動詞
も,助詞
せ,動詞
ず,助動詞
スプウン,名詞
を,助詞
横,名詞
に,助詞
し,動詞
て,助詞
さっと,副詞
掬っ,動詞
て,助詞
、,記号
それから,接続詞
、,記号
燕,名詞
の,助詞
よう,名詞
に,助詞
、,記号
