表層形, 品詞, 品詞細分類1, 品詞細分類2, 品詞細分類3, 活用型, 活用形, 原形, 読み, 発音
二,名詞,数,*,*,*,*,二,ニ,ニ
人,名詞,接尾,助数詞,*,*,*,人,ニン,ニン
の,助詞,連体化,*,*,*,*,の,ノ,ノ
若い,形容詞,自立,*,*,形容詞・アウオ段,基本形,若い,ワカイ,ワカイ
紳士,名詞,一般,*,*,*,*,紳士,シンシ,シンシ
が,助詞,格助詞,一般,*,*,*,が,ガ,ガ
、,記号,読点,*,*,*,*,、,、,、
す,名詞,一般,*,*,*,*,す,ス,ス
つかり,動詞,自立,*,*,五段・ラ行,連用形,つかる,ツカリ,ツカリ
イギリス,名詞,固有名詞,地域,国,*,*,イギリス,イギリス,イギリス
の,助詞,連体化,*,*,*,*,の,ノ,ノ
兵隊,名詞,一般,*,*,*,*,兵隊,ヘイタイ,ヘイタイ
の,助詞,連体化,*,*,*,*,の,ノ,ノ
かたち,名詞,一般,*,*,*,*,かたち,カタチ,カタチ
を,助詞,格助詞,一般,*,*,*,を,ヲ,ヲ
し,動詞,自立,*,*,サ変・スル,連用形,する,シ,シ
て,助詞,接続助詞,*,*,*,*,て,テ,テ
、,記号,読点,*,*,*,*,、,、,、
ぴか,名詞,一般,*,*,*,*,ぴか,*,*
／,記号,一般,*,*,*,*,／,／,／
＼,記号,一般,*,*,*,*,＼,＼,＼
する,動詞,自立,*,*,サ変・スル,基本形,する,スル,スル
鉄砲,名詞,一般,*,*,*,*,鉄砲,テッポウ,テッポー
を,助詞,格助詞,一般,*,*,*,を,ヲ,ヲ
かつい,動詞,自立,*,*,五段・ガ行,連用タ接続,かつぐ,カツイ,カツイ
で,助詞,接続助詞,*,*,*,*,で,デ,デ
、,記号,読点,*,*,*,*,、,、,、
白熊,名詞,一般,*,*,*,*,白熊,シロクマ,シロクマ
の,助詞,連体化,*,*,*,*,の,ノ,ノ
やう,名詞,非自立,助動詞語幹,*,*,*,やう,ヤウ,ヨー
な,助動詞,*,*,*,特殊・ダ,体言接続,だ,ナ,ナ
犬,名詞,一般,*,*,*,*,犬,イヌ,イヌ
を,助詞,格助詞,一般,*,*,*,を,ヲ,ヲ
二,名詞,数,*,*,*,*,二,ニ,ニ
疋,名詞,一般,*,*,*,*,疋,*,*
つれ,動詞,自立,*,*,一段,連用形,つれる,ツレ,ツレ
て,助詞,接続助詞,*,*,*,*,て,テ,テ
、,記号,読点,*,*,*,*,、,、,、
だいぶ,副詞,一般,*,*,*,*,だいぶ,ダイブ,ダイブ
山奥,名詞,一般,*,*,*,*,山奥,ヤマオク,ヤマオク
の,助詞,連体化,*,*,*,*,の,ノ,ノ
、,記号,読点,*,*,*,*,、,、,、
木の葉,名詞,一般,*,*,*,*,木の葉,コノハ,コノハ
の,助詞,連体化,*,*,*,*,の,ノ,ノ
かさ,名詞,一般,*,*,*,*,かさ,カサ,カサ
／,記号,一般,*,*,*,*,／,／,／
＼,記号,一般,*,*,*,*,＼,＼,＼
し,動詞,自立,*,*,サ変・スル,連用形,する,シ,シ
た,助動詞,*,*,*,特殊・タ,基本形,た,タ,タ
とこ,名詞,一般,*,*,*,*,とこ,トコ,トコ
を,助詞,格助詞,一般,*,*,*,を,ヲ,ヲ
、,記号,読点,*,*,*,*,、,、,、
こんな,連体詞,*,*,*,*,*,こんな,コンナ,コンナ
こと,名詞,非自立,一般,*,*,*,こと,コト,コト
を,助詞,格助詞,一般,*,*,*,を,ヲ,ヲ
云,名詞,一般,*,*,*,*,云,ウン,ウン
ひ,動詞,自立,*,*,一段,連用形,ひる,ヒ,ヒ
ながら,助詞,接続助詞,*,*,*,*,ながら,ナガラ,ナガラ
、,記号,読点,*,*,*,*,、,、,、
あるい,動詞,自立,*,*,五段・カ行イ音便,連用タ接続,あるく,アルイ,アルイ
て,助詞,接続助詞,*,*,*,*,て,テ,テ
を,助詞,格助詞,一般,*,*,*,を,ヲ,ヲ
り,助動詞,*,*,*,文語・リ,基本形,り,リ,リ
まし,助動詞,*,*,*,特殊・マス,連用形,ます,マシ,マシ
た,助動詞,*,*,*,特殊・タ,基本形,た,タ,タ
。,記号,句点,*,*,*,*,。,。,。
「,記号,括弧開,*,*,*,*,「,「,「
ぜんたい,名詞,副詞可能,*,*,*,*,ぜんたい,ゼンタイ,ゼンタイ
、,記号,読点,*,*,*,*,、,、,、
こ,名詞,一般,*,*,*,*,こ,コ,コ
ゝ,記号,一般,*,*,*,*,ゝ,ゝ,ゝ
ら,名詞,接尾,一般,*,*,*,ら,ラ,ラ
の,助詞,連体化,*,*,*,*,の,ノ,ノ
山,名詞,一般,*,*,*,*,山,ヤマ,ヤマ
は,助詞,係助詞,*,*,*,*,は,ハ,ワ
怪しから,形容詞,自立,*,*,形容詞・イ段,未然ヌ接続,怪しい,アヤシカラ,アヤシカラ
ん,助動詞,*,*,*,不変化型,基本形,ん,ン,ン
