表層形, 品詞, 品詞細分類1, 品詞細分類2, 品詞細分類3, 活用型, 活用形, 原形, 読み, 発音
どっ,動詞,非自立,*,*,五段・ラ行,連用タ接続,どる,ドッ,ドッ
どど,副詞,助詞類接続,*,*,*,*,どど,ドド,ドド
　,記号,空白,*,*,*,*,　,　,
どど,副詞,助詞類接続,*,*,*,*,どど,ドド,ドド
うど,名詞,一般,*,*,*,*,うど,ウド,ウド
　,記号,空白,*,*,*,*,　,　,
どど,副詞,助詞類接続,*,*,*,*,どど,ドド,ドド
うど,名詞,一般,*,*,*,*,うど,ウド,ウド
　,記号,空白,*,*,*,*,　,　,
どど,副詞,助詞類接続,*,*,*,*,どど,ドド,ドド
う,感動詞,*,*,*,*,*,う,ウ,ウ
青い,形容詞,自立,*,*,形容詞・アウオ段,基本形,青い,アオイ,アオイ
くるみ,名詞,一般,*,*,*,*,くるみ,クルミ,クルミ
も,助詞,係助詞,*,*,*,*,も,モ,モ
吹きとばせ,動詞,自立,*,*,五段・サ行,命令ｅ,吹きとばす,フキトバセ,フキトバセ
すっぱい,形容詞,自立,*,*,形容詞・アウオ段,基本形,すっぱい,スッパイ,スッパイ
か,助詞,副助詞／並立助詞／終助詞,*,*,*,*,か,カ,カ
りん,副詞,助詞類接続,*,*,*,*,りん,リン,リン
も,助詞,係助詞,*,*,*,*,も,モ,モ
吹きとばせ,動詞,自立,*,*,五段・サ行,命令ｅ,吹きとばす,フキトバセ,フキトバセ
どっ,動詞,非自立,*,*,五段・ラ行,連用タ接続,どる,ドッ,ドッ
どど,副詞,助詞類接続,*,*,*,*,どど,ドド,ドド
　,記号,空白,*,*,*,*,　,　,
どど,副詞,助詞類接続,*,*,*,*,どど,ドド,ドド
うど,名詞,一般,*,*,*,*,うど,ウド,ウド
　,記号,空白,*,*,*,*,　,　,
どど,副詞,助詞類接続,*,*,*,*,どど,ドド,ドド
うど,名詞,一般,*,*,*,*,うど,ウド,ウド
　,記号,空白,*,*,*,*,　,　,
どど,副詞,助詞類接続,*,*,*,*,どど,ドド,ドド
う,感動詞,*,*,*,*,*,う,ウ,ウ
谷川,名詞,固有名詞,人名,姓,*,*,谷川,タニガワ,タニガワ
の,助詞,連体化,*,*,*,*,の,ノ,ノ
岸,名詞,一般,*,*,*,*,岸,キシ,キシ
に,助詞,格助詞,一般,*,*,*,に,ニ,ニ
